iter	RMSE
209	16985.74317
210	16945.94304
211	16933.00447
212	16874.85798
213	16822.66356
214	16781.79618
215	16742.97267
216	16708.10817
217	16671.47027
218	16632.17532
219	16586.96063
220	16580.33921
221	16537.5552
222	16509.533
223	16499.73723
224	16474.58546
225	16447.35096
226	16428.92377
227	16422.38461
228	16414.6339
229	16381.98429
230	16359.94343
231	16323.87869
232	16283.78393
233	16276.38602
234	16234.24123
235	16206.24795
236	16201.01865
237	16186.46609
238	16140.82621
239	16130.77073
240	16124.9252
241	16081.75071
242	16060.78802
243	16032.30821
244	15991.78393
245	15985.08248
246	15937.08721
247	15894.54042
248	15890.40346
249	15885.9965
250	15879.77204
251	15837.34249
252	15791.15593
253	15742.01117
254	15732.50936
255	15726.57626
256	15723.31869
257	15693.68117
258	15665.24839
259	15651.57707
260	15595.54018
261	15564.73978
262	15521.57849
263	15517.66941
264	15485.73439
265	15441.02385
266	15413.59097
267	15410.14432
268	15366.06728
269	15358.97246
270	15353.55872
271	15316.55881
272	15276.69929
273	15271.34026
274	15243.04833
275	15225.51053
276	15198.19438
277	15164.10326
278	15161.18877
279	15144.26387
280	15134.88426
281	15119.6856
282	15095.58972
283	15092.48644
284	15088.05081
285	15080.59047
286	15077.60807
287	15056.80902
288	15018.62148
289	14994.45316
290	14989.17245
291	14966.01355
292	14963.4206
293	14921.73946
294	14898.54222
295	14873.99253
296	14823.55541
297	14818.56453
298	14814.08915
299	14807.13032
300	14801.34524
301	14787.12126
302	14756.06794
303	14744.95613
304	14741.31164
305	14725.12731
306	14696.2293
307	14663.22612
308	14640.03134
309	14622.98359
310	14589.01374
311	14576.12775
312	14568.14966
313	14556.02092
314	14547.96996
315	14540.08502
316	14514.71057
317	14507.06334
318	14499.62147
319	14486.71126
320	14451.74006
321	14418.96365
322	14382.21204
323	14348.41746
324	14345.05163
325	14337.38016
326	14308.47765
327	14301.44384
328	14294.51238
329	14270.66041
330	14245.24834
331	14228.38422
332	14223.23243
333	14181.6026
334	14151.32483
335	14120.51456
336	14093.43314
337	14086.20482
338	14078.97344
339	14051.71547
340	14032.21595
341	14004.79281
342	14002.43083
343	13978.90754
344	13956.91411
345	13954.61422
346	13939.12985
347	13916.18537
348	13886.42849
349	13876.65259
350	13854.39732
351	13838.29607
352	13835.11021
353	13807.41012
354	13769.16561
355	13737.38057
356	13734.28189
357	13732.05071
358	13708.69646
359	13705.96872
360	13678.24948
361	13658.79565
362	13649.11876
363	13632.48083
364	13629.79556
365	13608.48806
366	13583.70136
367	13569.24445
368	13565.28623
369	13546.70055
370	13540.30472
371	13535.82256
372	13526.43572
373	13512.61602
374	13492.20723
375	13483.25032
376	13454.13921
377	13430.27053
378	13420.24025
379	13416.47487
380	13412.56367
381	13408.89559
382	13399.30287
383	13358.52197
384	13335.05524
385	13309.76244
386	13301.60315
387	13273.93817
388	13245.7492
389	13232.59553
390	13230.1662
391	13221.41076
392	13197.17421
393	13177.13666
394	13169.51423
395	13149.69481
396	13127.45104
397	13125.18822
398	13119.03054
399	13110.5998
400	13090.27782
401	13071.31333
402	13046.91768
403	13044.54203
404	13030.96025
405	12996.63972
406	12969.96226
407	12944.95185
408	12921.45477
409	12899.51619
410	12872.4736
411	12844.72913
412	12843.00313
413	12794.55209
414	12777.98301
415	12767.92837
416	12765.87
417	12762.39249
418	12760.22616
419	12739.71174
420	12737.49018
421	12733.48577
422	12725.33123
423	12718.00932
424	12715.88518
425	12712.04878
426	12677.23947
427	12655.7819
428	12653.68295
429	12645.94898
430	12635.33488
431	12631.57798
432	12621.12022
433	12619.11972
434	12611.34283
435	12604.28854
436	12594.41279
437	12570.97368
438	12568.99592
439	12565.6594
440	12547.97663
441	12545.00433
442	12527.17141
